ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
1984,9841238,1,12,11.3,0,0,0,,0,1,Taviyad Sanjay Shankarbhai c Imran Adhi b Yusuf Haji Mohan (7r 9b 1x4s 0x6s SR: 77.78),,Caught out,529108,,,[],"Yusuf Haji Mohan to Taviyad Sanjay Shankarbhai, OUT Caught out, Caught at Deep backward point by Imran Adhi"
1983,9841238,1,12,11.3,0,0,0,WD,0,0,,,,0,,,[],"Yusuf Haji Mohan to Taviyad Sanjay Shankarbhai, wide"
1982,9841238,1,12,11.2,0,0,0,,0,0,,,,0,,,[],"Yusuf Haji Mohan to Taviyad Sanjay Shankarbhai, no run"
1981,9841238,1,12,11.1,0,4,1,,0,0,,,,0,,,[],"Yusuf Haji Mohan to Taviyad Sanjay Shankarbhai, FOUR,  to Deep mid wicket"
1980,9841238,1,11,11.0,0,0,0,,0,1,Mahesh Katara b M.Faiz Shaheriya (0r 5b 0x4s 0x6s SR: 0.00),,Bowled,2343036,,,[],"M.Faiz Shaheriya to Mahesh Katara, OUT Bowled"
1979,9841238,1,11,10.5,0,0,0,,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, no run"
1978,9841238,1,11,10.4,0,0,0,,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, no run"
1977,9841238,1,11,10.4,0,0,0,WD,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, wide"
1976,9841238,1,11,10.3,0,0,0,,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, no run"
1975,9841238,1,11,10.2,0,0,0,,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, no run"
1974,9841238,1,11,10.2,0,0,0,WD,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, wide"
1973,9841238,1,11,10.2,0,0,0,WD,0,0,,,,0,,,[],"M.Faiz Shaheriya to Mahesh Katara, wide"
1972,9841238,1,11,10.1,0,1,0,,0,0,,,,0,,,[],"M.Faiz Shaheriya to Taviyad Sanjay Shankarbhai, 1 run"
1971,9841238,1,10,10.0,0,0,0,,0,1,Rahul Jadav c bharat Patel..(Mr Cricket) b Khalid Daji (7r 13b 1x4s 0x6s SR: 53.85),,Caught out,503103,,,[],"Khalid Daji to Rahul Jadav, OUT Caught out, Caught at Mid-off by bharat Patel..(Mr Cricket)"
1970,9841238,1,10,9.5,0,0,0,,0,0,,,,0,,,[],"Khalid Daji to Rahul Jadav, no run"
1969,9841238,1,10,9.4,0,1,0,,0,0,,,,0,,,[],"Khalid Daji to Taviyad Sanjay Shankarbhai, 1 run"
1968,9841238,1,10,9.3,0,0,0,,0,0,,,,0,,,[],"Khalid Daji to Taviyad Sanjay Shankarbhai, no run"
1967,9841238,1,10,9.2,0,1,0,,0,0,,,,0,,,[],"Khalid Daji to Rahul Jadav, 1 run"
1966,9841238,1,10,9.1,0,1,0,,0,0,,,,0,,,[],"Khalid Daji to Taviyad Sanjay Shankarbhai, 1 run"
1965,9841238,1,9,9.0,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, no run"
1964,9841238,1,9,8.5,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, no run"
1963,9841238,1,9,8.4,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, no run"
1962,9841238,1,9,8.3,0,0,0,LB,1,0,,,,0,,,[],"Babu Mamda to Taviyad Sanjay Shankarbhai, leg bye, 1 run"
1961,9841238,1,9,8.2,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Taviyad Sanjay Shankarbhai, no run"
1960,9841238,1,9,8.2,0,0,0,WD,0,0,,,,0,,,[],"Babu Mamda to Taviyad Sanjay Shankarbhai, wide"
1959,9841238,1,9,8.1,0,0,0,,0,1,Rajesh b Babu Mamda (1r 5b 0x4s 0x6s SR: 20.00),,Bowled,1686253,,,[],"Babu Mamda to Rajesh, OUT Bowled"
1958,9841238,1,8,8.0,0,0,0,,0,0,,,,0,,,[],"Khalid Daji to Rajesh, no run"
1957,9841238,1,8,7.5,0,0,0,,0,0,,,,0,,,[],"Khalid Daji to Rajesh, no run"
1956,9841238,1,8,7.5,0,0,0,WD,0,0,,,,0,,,[],"Khalid Daji to Rajesh, wide"
1955,9841238,1,8,7.4,0,1,0,,0,0,,,,0,,,[],"Khalid Daji to Rahul Jadav, 1 run"
1954,9841238,1,8,7.3,0,1,0,,0,0,,,,0,,,[],"Khalid Daji to Rajesh, 1 run"
1953,9841238,1,8,7.2,0,0,0,,0,0,,,,0,,,[],"Khalid Daji to Rajesh, no run"
1952,9841238,1,8,7.1,0,0,0,,0,1,Nilesh bariya run out Babu Mamda / SHANU.SURTI (1r 3b 0x4s 0x6s SR: 33.33),,Run out,518536,,,[],"Khalid Daji to Nilesh bariya, OUT Run out, Throw from Point by Babu Mamda"
1951,9841238,1,8,7.1,0,0,0,WD,0,0,,,,0,,,[],"Khalid Daji to Nilesh bariya, wide"
1950,9841238,1,7,7.0,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, no run"
1949,9841238,1,7,6.5,0,1,0,,0,0,,,,0,,,[],"Babu Mamda to Nilesh bariya, 1 run"
1948,9841238,1,7,6.4,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to Nilesh bariya, no run"
1947,9841238,1,7,6.3,0,0,0,,0,1,RAHUL S PATIL c Imran Adhi b Babu Mamda (7r 13b 1x4s 0x6s SR: 53.85),,Caught out,1531640,,,[],"Babu Mamda to RAHUL S PATIL, OUT Caught out, Caught at Long-on by Imran Adhi"
1946,9841238,1,7,6.2,0,0,0,,0,0,,,,0,,,[],"Babu Mamda to RAHUL S PATIL, no run"
1945,9841238,1,7,6.1,0,0,0,LB,1,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, leg bye, 1 run"
1944,9841238,1,7,6.1,0,0,0,WD,0,0,,,,0,,,[],"Babu Mamda to Rahul Jadav, wide"
1943,9841238,1,6,6.0,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1942,9841238,1,6,5.5,0,1,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Rahul Jadav, 1 run"
1941,9841238,1,6,5.4,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Rahul Jadav, no run"
1940,9841238,1,6,5.3,0,4,1,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Rahul Jadav, FOUR,  to Deep backward point"
1939,9841238,1,6,5.2,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Rahul Jadav, no run"
1938,9841238,1,6,5.1,0,1,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, 1 run"
1937,9841238,1,5,5.0,0,1,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to RAHUL S PATIL, 1 run"
1936,9841238,1,5,4.5,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to RAHUL S PATIL, no run"
1935,9841238,1,5,4.4,0,4,1,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to RAHUL S PATIL, FOUR,  to Wide long-off"
1934,9841238,1,5,4.4,0,0,0,WD,1,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Rahul Jadav, wide, 1 run"
1933,9841238,1,5,4.3,0,0,0,,0,1,Sunny Ninama c Bashir (Maryam) 2.0 b bharat Patel..(Mr Cricket) (1r 11b 0x4s 0x6s SR: 9.09),,Caught out,2241361,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, OUT Caught out, Caught at Backward Point by Bashir (Maryam) 2.0"
1932,9841238,1,5,4.2,0,1,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to RAHUL S PATIL, 1 run"
1931,9841238,1,5,4.1,0,1,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, 1 run"
1930,9841238,1,4,4.0,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1929,9841238,1,4,3.5,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1928,9841238,1,4,3.4,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1927,9841238,1,4,3.3,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1926,9841238,1,4,3.2,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to RAHUL S PATIL, no run"
1925,9841238,1,4,3.1,0,0,0,,0,1,Virendra Bhabhor c bharat Patel..(Mr Cricket) b Moin Khan (M.M.M) (0r 4b 0x4s 0x6s SR: 0.00),,Caught out,503099,,,[],"Moin Khan (M.M.M) to Virendra Bhabhor, OUT Caught out, Caught at Mid-on by bharat Patel..(Mr Cricket)"
1924,9841238,1,3,3.0,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, no run"
1923,9841238,1,3,2.5,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, no run"
1922,9841238,1,3,2.5,0,0,0,WD,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, wide"
1921,9841238,1,3,2.4,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, no run"
1920,9841238,1,3,2.3,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, no run"
1919,9841238,1,3,2.2,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Sunny Ninama, no run"
1918,9841238,1,3,2.2,0,0,0,WD,1,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Virendra Bhabhor, wide, 1 run"
1917,9841238,1,3,2.1,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Virendra Bhabhor, no run"
1916,9841238,1,2,2.0,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Sunny Ninama, no run"
1915,9841238,1,2,1.5,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Sunny Ninama, no run"
1914,9841238,1,2,1.4,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Sunny Ninama, no run"
1913,9841238,1,2,1.3,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Sunny Ninama, no run"
1912,9841238,1,2,1.2,0,0,0,LB,1,0,,,,0,,,[],"Moin Khan (M.M.M) to Virendra Bhabhor, leg bye, 1 run"
1911,9841238,1,2,1.1,0,0,0,,0,0,,,,0,,,[],"Moin Khan (M.M.M) to Virendra Bhabhor, no run"
1910,9841238,1,1,1.0,0,0,0,,0,1,Akshay Kumar Baria b bharat Patel..(Mr Cricket) (0r 3b 0x4s 0x6s SR: 0.00),,Bowled,671097,,,[],"bharat Patel..(Mr Cricket) to Akshay Kumar Baria, OUT Bowled"
1909,9841238,1,1,0.5,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Akshay Kumar Baria, no run"
1908,9841238,1,1,0.4,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Akshay Kumar Baria, no run"
1907,9841238,1,1,0.3,0,0,0,,0,1,Manoj b bharat Patel..(Mr Cricket) (0r 3b 0x4s 0x6s SR: 0.00),,Bowled,499011,,,[],"bharat Patel..(Mr Cricket) to Manoj, OUT Bowled"
1906,9841238,1,1,0.2,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Manoj, no run"
1905,9841238,1,1,0.1,0,0,0,,0,0,,,,0,,,[],"bharat Patel..(Mr Cricket) to Manoj, no run"
