ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
2018,2804105,2,6,5.3,0,4,1,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), FOUR,  to Long-off"
2017,2804105,2,6,5.2,0,4,1,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), FOUR,  to Wide long-on"
2016,2804105,2,6,5.1,0,0,0,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), no run"
2015,2804105,2,5,5.0,0,1,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), 1 run"
2014,2804105,2,5,4.5,0,4,1,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), FOUR,  to Deep backward square leg"
2013,2804105,2,5,4.4,0,6,1,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), SIX,  to Deep mid wicket"
2012,2804105,2,5,4.3,0,2,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), 2 runs"
2011,2804105,2,5,4.2,0,1,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Sanjay, 1 run"
2010,2804105,2,5,4.1,0,4,1,,0,0,,,,0,,,[],"Akshay Kumar Baria to Sanjay, FOUR,  to Deep extra cover"
2009,2804105,2,4,4.0,0,1,0,,0,0,,,,0,,,[],"Manoj to Sanjay, 1 run"
2008,2804105,2,4,3.5,0,4,1,,0,0,,,,0,,,[],"Manoj to Sanjay, FOUR,  to Deep extra cover"
2007,2804105,2,4,3.4,0,1,0,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), 1 run"
2006,2804105,2,4,3.3,0,6,1,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), SIX,  to Wide long-on"
2005,2804105,2,4,3.2,0,0,0,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), no run"
2004,2804105,2,4,3.1,0,0,0,,0,0,,,,0,,,[],"Manoj to Asharaf Ali (TOOFAAN), no run"
2003,2804105,2,3,3.0,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Sanjay, no run"
2002,2804105,2,3,2.5,0,1,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), 1 run"
2001,2804105,2,3,2.4,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
2000,2804105,2,3,2.3,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1999,2804105,2,3,2.2,0,4,1,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), FOUR,  to Deep extra cover"
1998,2804105,2,3,2.1,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1997,2804105,2,2,2.0,0,0,0,,0,1,Yusuf Haji Mohan lbw b Manoj (0r 6b 0x4s 0x6s SR: 0.00),,LBW,2211533,,,[],"Manoj to Yusuf Haji Mohan, OUT LBW"
1996,2804105,2,2,1.5,0,0,0,,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, no run"
1995,2804105,2,2,1.4,0,0,0,,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, no run"
1994,2804105,2,2,1.3,0,0,0,,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, no run"
1993,2804105,2,2,1.2,0,0,0,,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, no run"
1992,2804105,2,2,1.2,0,0,0,WD,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, wide"
1991,2804105,2,2,1.1,0,0,0,,0,0,,,,0,,,[],"Manoj to Yusuf Haji Mohan, no run"
1990,2804105,2,1,1.0,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1989,2804105,2,1,0.5,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1988,2804105,2,1,0.4,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1987,2804105,2,1,0.3,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1986,2804105,2,1,0.2,0,0,0,,0,0,,,,0,,,[],"Akshay Kumar Baria to Asharaf Ali (TOOFAAN), no run"
1985,2804105,2,1,0.1,0,0,0,,0,1,Bashir (Maryam) 2.0 run out Akshay Kumar Baria (0r 1b 0x4s 0x6s SR: 0.00),,Run out,4034154,,,[],"Akshay Kumar Baria to Bashir (Maryam) 2.0, OUT Run out, Throw from Mid-on by Akshay Kumar Baria"
