ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary,batting_team,bowling_team,file,commentary,Bowler,Batsman,Action
1232,1245132,2,9,9,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, no run",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, no run",Rohan Chauhan,Rakesh Chaudhary,no run
1231,1245132,2,9,8.5,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep backward square leg",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep backward square leg",Rohan Chauhan,Rakesh Chaudhary,"FOUR, to Deep backward square leg"
1230,1245132,2,9,8.5,0,0,0,NB,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, (no ball)",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, (no ball)",Rohan Chauhan,Rakesh Chaudhary,(no ball)
1229,1245132,2,9,8.4,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep extra cover",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep extra cover",Rohan Chauhan,Rakesh Chaudhary,"FOUR, to Deep extra cover"
1228,1245132,2,9,8.3,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, 1 run",1245132,9829157,1,"Rohan Chauhan to AfzaL Keasri, 1 run",Rohan Chauhan,AfzaL Keasri,1 run
1227,1245132,2,9,8.2,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, no run",1245132,9829157,1,"Rohan Chauhan to AfzaL Keasri, no run",Rohan Chauhan,AfzaL Keasri,no run
1226,1245132,2,9,8.1,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, FOUR,  to Deep extra cover",1245132,9829157,1,"Rohan Chauhan to AfzaL Keasri, FOUR,  to Deep extra cover",Rohan Chauhan,AfzaL Keasri,"FOUR, to Deep extra cover"
1225,1245132,2,8,8,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run",1245132,9829157,1,"Farhan P to AfzaL Keasri, 1 run",Farhan P,AfzaL Keasri,1 run
1224,1245132,2,8,8,0,0,0,WD,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, wide",1245132,9829157,1,"Farhan P to AfzaL Keasri, wide",Farhan P,AfzaL Keasri,wide
1223,1245132,2,8,7.5,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run",1245132,9829157,1,"Farhan P to Rakesh Chaudhary, 1 run",Farhan P,Rakesh Chaudhary,1 run
1222,1245132,2,8,7.4,0,0,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, no run",1245132,9829157,1,"Farhan P to Rakesh Chaudhary, no run",Farhan P,Rakesh Chaudhary,no run
1221,1245132,2,8,7.3,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run",1245132,9829157,1,"Farhan P to AfzaL Keasri, 1 run",Farhan P,AfzaL Keasri,1 run
1220,1245132,2,8,7.2,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run",1245132,9829157,1,"Farhan P to Rakesh Chaudhary, 1 run",Farhan P,Rakesh Chaudhary,1 run
1219,1245132,2,8,7.1,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run",1245132,9829157,1,"Farhan P to AfzaL Keasri, 1 run",Farhan P,AfzaL Keasri,1 run
1218,1245132,2,7,7,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, no run",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, no run",Rohan Chauhan,Rakesh Chaudhary,no run
1217,1245132,2,7,6.5,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, 1 run",1245132,9829157,1,"Rohan Chauhan to AfzaL Keasri, 1 run",Rohan Chauhan,AfzaL Keasri,1 run
1216,1245132,2,7,6.4,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, no run",1245132,9829157,1,"Rohan Chauhan to AfzaL Keasri, no run",Rohan Chauhan,AfzaL Keasri,no run
1215,1245132,2,7,6.3,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, 1 run",1245132,9829157,1,"Rohan Chauhan to Rakesh Chaudhary, 1 run",Rohan Chauhan,Rakesh Chaudhary,1 run
