ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
232,86519,1,19,19.0,0,0,0,,0,1,ilyash Kandar b Tushar Shrikantbhai Dashadiya (2r 7b 0x4s 0x6s SR: 28.57),,Bowled,2211772,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, OUT Bowled"
231,86519,1,19,18.5,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, no run"
230,86519,1,19,18.4,0,0,0,B,3,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, bye, 3 runs"
229,86519,1,19,18.3,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, no run"
228,86519,1,19,18.3,0,0,0,WD,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, wide"
227,86519,1,19,18.2,0,1,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, 1 run"
226,86519,1,19,18.1,0,0,0,LB,1,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, leg bye, 1 run"
225,86519,1,18,18.0,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, 1 run"
224,86519,1,18,17.5,0,4,1,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, FOUR,  to Deep backward square leg"
223,86519,1,18,17.4,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, no run"
222,86519,1,18,17.3,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, no run"
221,86519,1,18,17.2,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to ilyash Kandar, 1 run"
220,86519,1,18,17.1,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, 1 run"
219,86519,1,17,17.0,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, no run"
218,86519,1,17,16.5,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, no run"
217,86519,1,17,16.4,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to ilyash Kandar, no run"
216,86519,1,17,16.3,0,0,0,,0,1,Farook Mora c Kunj H Mehta b Tushar Shrikantbhai Dashadiya (0r 2b 0x4s 0x6s SR: 0.00),,Caught out,677069,,,[],"Tushar Shrikantbhai Dashadiya to Farook Mora, OUT Caught out, Caught at Wicket keeper by Kunj H Mehta"
215,86519,1,17,16.2,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Farook Mora, no run"
214,86519,1,17,16.1,0,0,0,B,1,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, bye, 1 run"
213,86519,1,16,16.0,0,0,0,,0,1,Soheb Bhamedi c Vraj Baria b Darshan Soni (9r 22b 1x4s 0x6s SR: 40.91),,Caught out,704062,,,[],"Darshan Soni to Soheb Bhamedi, OUT Caught out, Caught at Deep mid wicket by Vraj Baria"
212,86519,1,16,15.5,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, 1 run"
211,86519,1,16,15.4,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, 1 run"
210,86519,1,16,15.3,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, no run"
209,86519,1,16,15.2,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, no run"
208,86519,1,16,15.1,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, no run"
207,86519,1,15,15.0,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, no run"
206,86519,1,15,14.5,0,1,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, 1 run"
205,86519,1,15,14.4,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
204,86519,1,15,14.3,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
203,86519,1,15,14.2,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
202,86519,1,15,14.1,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
201,86519,1,14,14.0,0,2,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, 2 runs"
200,86519,1,14,13.5,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, 1 run"
199,86519,1,14,13.4,0,2,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, 2 runs"
198,86519,1,14,13.3,0,0,0,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, no run"
197,86519,1,14,13.2,0,4,1,,0,0,,,,0,,,[],"Darshan Soni to Soheb Bhamedi, FOUR,  to Deep square leg"
196,86519,1,14,13.1,0,1,0,,0,0,,,,0,,,[],"Darshan Soni to Irfan samol, 1 run"
195,86519,1,13,13.0,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
194,86519,1,13,12.5,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
193,86519,1,13,12.4,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Soheb Bhamedi, no run"
192,86519,1,13,12.3,0,1,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, 1 run"
191,86519,1,13,12.2,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, no run"
190,86519,1,13,12.1,0,0,0,,0,0,,,,0,,,[],"Tushar Shrikantbhai Dashadiya to Irfan samol, no run"
189,86519,1,12,12.0,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Soheb Bhamedi, no run"
188,86519,1,12,11.5,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Soheb Bhamedi, no run"
187,86519,1,12,11.4,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Soheb Bhamedi, no run"
186,86519,1,12,11.3,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Soheb Bhamedi, no run"
185,86519,1,12,11.2,0,1,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Irfan samol, 1 run"
184,86519,1,12,11.1,0,0,0,,0,1,Aamir Sahebkha c NAWAZ J SAIYED b Harshvirsinh C. Jadav (1r 8b 0x4s 0x6s SR: 12.50),,Caught out,366993,,,[],"Harshvirsinh C. Jadav to Aamir Sahebkha, OUT Caught out, Caught at Straight long-off by NAWAZ J SAIYED"
183,86519,1,11,11.0,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Soheb Bhamedi, no run"
182,86519,1,11,10.5,0,0,0,,0,1,Altafbhai b Vyom Gosai (2r 6b 0x4s 0x6s SR: 33.33),,Bowled,38976,,,[],"Vyom Gosai to Altafbhai, OUT Bowled"
181,86519,1,11,10.4,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Altafbhai, no run"
180,86519,1,11,10.3,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Altafbhai, no run"
179,86519,1,11,10.2,0,1,0,,0,0,,,,0,,,[],"Vyom Gosai to Aamir Sahebkha, 1 run"
178,86519,1,11,10.1,0,1,0,,0,0,,,,0,,,[],"Vyom Gosai to Altafbhai, 1 run"
177,86519,1,10,10.0,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Aamir Sahebkha, no run"
176,86519,1,10,9.5,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Aamir Sahebkha, no run"
175,86519,1,10,9.4,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Aamir Sahebkha, no run"
174,86519,1,10,9.3,0,1,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Altafbhai, 1 run"
173,86519,1,10,9.2,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Altafbhai, no run"
172,86519,1,10,9.2,0,0,0,WD,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Altafbhai, wide"
171,86519,1,10,9.1,0,0,0,,0,1,Usman Samol c&b Harshvirsinh C. Jadav (2r 4b 0x4s 0x6s SR: 50.00),,Caught and bowled,677070,,,[],"Harshvirsinh C. Jadav to Usman Samol, OUT Caught and bowled, Caught at Mid-off by Harshvirsinh C. Jadav"
170,86519,1,10,9.1,0,0,0,WD,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Usman Samol, wide"
169,86519,1,9,9.0,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Aamir Sahebkha, no run"
168,86519,1,9,8.5,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Aamir Sahebkha, no run"
167,86519,1,9,8.4,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Aamir Sahebkha, no run"
166,86519,1,9,8.3,0,0,0,,0,1,Firdos Raliya c Keyur Bariya b Vyom Gosai (18r 21b 0x4s 2x6s SR: 85.71),,Caught out,89077,,,[],"Vyom Gosai to Firdos Raliya, OUT Caught out, Caught at Deep mid wicket by Keyur Bariya"
165,86519,1,9,8.2,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Firdos Raliya, no run"
164,86519,1,9,8.1,0,1,0,,0,0,,,,0,,,[],"Vyom Gosai to Usman Samol, 1 run"
163,86519,1,8,8.0,0,6,1,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Firdos Raliya, SIX,  to Long-on"
162,86519,1,8,7.5,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Firdos Raliya, no run"
161,86519,1,8,7.4,0,1,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Usman Samol, 1 run"
160,86519,1,8,7.3,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Usman Samol, no run"
159,86519,1,8,7.2,0,0,0,,0,1,Tayyeb Mamaji lbw b Harshvirsinh C. Jadav (0r 3b 0x4s 0x6s SR: 0.00),,LBW,41286,,,[],"Harshvirsinh C. Jadav to Tayyeb Mamaji, OUT LBW"
158,86519,1,8,7.1,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Tayyeb Mamaji, no run"
157,86519,1,7,7.0,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Firdos Raliya, no run"
156,86519,1,7,6.5,0,0,0,LB,1,0,,,,0,,,[],"Vyom Gosai to Tayyeb Mamaji, leg bye, 1 run"
155,86519,1,7,6.4,0,1,0,,0,0,,,,0,,,[],"Vyom Gosai to Firdos Raliya, 1 run"
154,86519,1,7,6.3,0,0,0,,0,1,Yunus Kalandar run out Tushar Shrikantbhai Dashadiya (13r 18b 2x4s 0x6s SR: 72.22),,Run out,677066,,,[],"Vyom Gosai to Yunus Kalandar, OUT Run out, Throw from Mid-off by Tushar Shrikantbhai Dashadiya"
153,86519,1,7,6.2,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Yunus Kalandar, no run"
152,86519,1,7,6.1,0,0,0,,0,0,,,,0,,,[],"Vyom Gosai to Yunus Kalandar, no run"
151,86519,1,6,6.0,0,1,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Yunus Kalandar, 1 run"
150,86519,1,6,5.5,0,1,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Firdos Raliya, 1 run"
149,86519,1,6,5.4,0,0,0,LB,1,0,,,,0,,,[],"Harshvirsinh C. Jadav to Yunus Kalandar, leg bye, 1 run"
148,86519,1,6,5.3,0,2,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Yunus Kalandar, 2 runs"
147,86519,1,6,5.2,0,0,0,,0,0,,,,0,,,[],"Harshvirsinh C. Jadav to Yunus Kalandar, no run"
