ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
1041,1960525,2,20,20.0,0,0,0,,0,1,Bilal..Khan run out Altafbhai (11r 9b 2x4s 0x6s SR: 122.22),,Run out,9400825,,,[],"Firdos Raliya to Ravi Patel, OUT Run out, Throw from Short mid off by Altafbhai"
1040,1960525,2,20,19.5,0,0,0,,0,1,Hokla Y run out † Aamir Sahebkha (0r 0b 0x4s 0x6s SR: 0.00),,Run out,12523740,,,[],"Firdos Raliya to Bilal..Khan, OUT Run out, Throw from Short third man by Aamir Sahebkha"
1039,1960525,2,20,19.4,0,0,0,,0,0,,,,0,,,[],"Firdos Raliya to Bilal..Khan, no run"
1038,1960525,2,20,19.4,0,0,0,,0,1,Usman Vahab run out Firdos Raliya (0r 2b 0x4s 0x6s SR: 0.00),,Mankaded,2209469,,,[],"Firdos Raliya to Bilal..Khan, OUT Mankaded"
1037,1960525,2,20,19.3,0,0,0,,0,0,,,,0,,,[],"Firdos Raliya to Bilal..Khan, no run"
1036,1960525,2,20,19.2,0,4,1,,0,0,,,,0,,,[],"Firdos Raliya to Bilal..Khan, FOUR,  to Third man"
1035,1960525,2,20,19.1,0,4,1,,0,0,,,,0,,,[],"Firdos Raliya to Bilal..Khan, FOUR,  to Deep extra cover"
1034,1960525,2,19,19.0,0,0,0,,0,0,,,,0,,,[],"Aamir Sahebkha to Usman Vahab, no run"
1033,1960525,2,19,18.5,0,1,0,,0,0,,,,0,,,[],"Aamir Sahebkha to Bilal..Khan, 1 run"
1032,1960525,2,19,18.4,0,0,0,,0,0,,,,0,,,[],"Aamir Sahebkha to Bilal..Khan, no run"
1031,1960525,2,19,18.3,0,2,0,,0,0,,,,0,,,[],"Aamir Sahebkha to Bilal..Khan, 2 runs"
1030,1960525,2,19,18.2,0,0,0,,0,0,,,,0,,,[],"Aamir Sahebkha to Bilal..Khan, no run"
1029,1960525,2,19,18.1,0,0,0,,0,1,Salman Durvash c Altafbhai b Aamir Sahebkha (4r 10b 0x4s 0x6s SR: 40.00),,Caught out,545259,,,[],"Aamir Sahebkha to Salman Durvash, OUT Caught out, Caught at Short third man by Altafbhai"
1028,1960525,2,18,18.0,0,0,0,,0,0,,,,0,,,[],"Firdos Raliya to Usman Vahab, no run"
1027,1960525,2,18,17.5,0,0,0,,0,1,Sohel Belim lbw b Firdos Raliya (2r 7b 0x4s 0x6s SR: 28.57),,LBW,8420093,,,[],"Firdos Raliya to Sohel Belim, OUT LBW"
1026,1960525,2,18,17.4,0,0,0,,0,0,,,,0,,,[],"Firdos Raliya to Sohel Belim, no run"
1025,1960525,2,18,17.3,0,0,0,,0,0,,,,0,,,[],"Firdos Raliya to Sohel Belim, no run"
1024,1960525,2,18,17.2,0,1,0,,0,0,,,,0,,,[],"Firdos Raliya to Salman Durvash, 1 run"
1023,1960525,2,18,17.1,0,1,0,,0,0,,,,0,,,[],"Firdos Raliya to Sohel Belim, 1 run"
1022,1960525,2,17,17.0,0,0,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Salman Durvash, no run"
1021,1960525,2,17,16.5,0,1,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Sohel Belim, 1 run"
1020,1960525,2,17,16.4,0,0,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Sohel Belim, no run"
1019,1960525,2,17,16.3,0,0,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Sohel Belim, no run"
1018,1960525,2,17,16.2,0,0,0,B,1,0,,,,0,,,[],"Tayyeb Mamaji to Salman Durvash, bye, 1 run"
1017,1960525,2,17,16.1,0,0,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Salman Durvash, no run"
1016,1960525,2,16,16.0,0,0,0,,0,1,Babu c ilyash Kandar b Usman Samol (40r 16b 1x4s 5x6s SR: 250.00),,Caught out,8427898,,,[],"Usman Samol to Babu, OUT Caught out, Caught at Long-off by ilyash Kandar"
1015,1960525,2,16,15.5,0,0,0,,0,0,,,,0,,,[],"Usman Samol to Babu, no run"
1014,1960525,2,16,15.4,0,6,1,,0,0,,,,0,,,[],"Usman Samol to Babu, SIX,  to Deep square leg"
1013,1960525,2,16,15.3,0,6,1,,0,0,,,,0,,,[],"Usman Samol to Babu, SIX,  to Straight long-off"
1012,1960525,2,16,15.2,0,1,0,,0,0,,,,0,,,[],"Usman Samol to Salman Durvash, 1 run"
1011,1960525,2,16,15.1,0,0,0,,0,0,,,,0,,,[],"Usman Samol to Salman Durvash, no run"
1010,1960525,2,15,15.0,0,1,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Salman Durvash, 1 run"
1009,1960525,2,15,14.5,0,1,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Babu, 1 run"
1008,1960525,2,15,14.4,0,2,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Babu, 2 runs"
1007,1960525,2,15,14.3,0,1,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Salman Durvash, 1 run"
1006,1960525,2,15,14.2,0,1,0,,0,0,,,,0,,,[],"Tayyeb Mamaji to Babu, 1 run"
